"subid","goal","true_state","utterance"
"185","both","0","not_good"
"185","both","2","yes_good"
"185","both","1","yes_bad"
"186","informative","0","not_good"
"186","informative","3","yes_good"
"186","informative","1","not_good"
"186","informative","2","yes_good"
"186","both","0","not_terrible"
"186","both","3","yes_amazing"
"186","both","1","not_bad"
"186","both","2","yes_good"
"186","social","0","not_bad"
"186","social","3","yes_amazing"
"186","social","1","yes_good"
"186","social","2","yes_good"
"191","social","0","yes_amazing"
"191","social","2","yes_amazing"
"191","social","1","yes_good"
"191","social","3","yes_good"
"191","informative","0","yes_amazing"
"191","informative","2","yes_good"
"191","informative","1","not_good"
"191","informative","3","yes_amazing"
"191","both","0","not_terrible"
"191","both","2","yes_good"
"191","both","1","yes_good"
"191","both","3","yes_good"
"194","both","2","yes_good"
"194","both","1","not_terrible"
"194","both","0","not_terrible"
"194","both","3","yes_amazing"
"194","social","2","yes_good"
"194","social","1","not_bad"
"194","social","0","not_terrible"
"194","social","3","yes_amazing"
"194","informative","2","yes_good"
"194","informative","1","yes_bad"
"194","informative","0","yes_terrible"
"194","informative","3","yes_amazing"
"199","both","2","yes_good"
"199","both","3","yes_amazing"
"199","both","1","not_good"
"199","both","0","yes_terrible"
"199","social","2","yes_good"
"199","social","3","yes_amazing"
"199","social","1","not_good"
"199","social","0","yes_terrible"
"199","informative","2","yes_good"
"199","informative","3","yes_amazing"
"199","informative","1","not_good"
"199","informative","0","yes_terrible"
"202","both","2","yes_good"
"202","both","1","not_bad"
"202","both","3","yes_amazing"
"202","both","0","not_terrible"
"202","informative","2","yes_good"
"202","informative","1","not_terrible"
"202","informative","3","yes_amazing"
"202","informative","0","yes_terrible"
"202","social","2","yes_amazing"
"202","social","1","yes_good"
"202","social","3","yes_amazing"
"202","social","0","yes_good"
"8","social","3","yes_amazing"
"8","social","0","not_terrible"
"8","social","1","yes_good"
"8","social","2","yes_good"
"8","both","3","yes_amazing"
"8","both","0","yes_bad"
"8","both","1","not_terrible"
"8","both","2","yes_good"
"8","informative","3","yes_amazing"
"8","informative","0","yes_bad"
"8","informative","1","not_terrible"
"8","informative","2","yes_good"
"12","both","1","not_terrible"
"12","both","0","not_terrible"
"12","both","3","yes_amazing"
"12","both","2","yes_good"
"12","social","1","not_terrible"
"12","social","0","yes_amazing"
"12","social","3","yes_amazing"
"12","social","2","yes_amazing"
"12","informative","1","yes_bad"
"12","informative","0","yes_terrible"
"12","informative","3","yes_amazing"
"12","informative","2","yes_good"
"14","informative","1","not_good"
"14","informative","2","yes_good"
